Data;Dia;Estádio;Tricolor;Pl1;Pl2;Adversário;Campeonato;Setor;Vídeo
12/02/2023;12/02/2023;Morumbi;São Paulo F.C.;3;1;Santos;Paulista;Numerada;https://www.youtube.com/watch?v=xiD75Xq6Vxs
15/02/2023;15/02/2023;Morumbi;São Paulo F.C.;5;1;Inter de Limeira;Paulista;Numerada;https://www.youtube.com/watch?v=CwiXzpB0QD8
13/03/2023;13/03/2023;Allianz;São Paulo F.C.;0;0;Água Santa;Paulista;Cadeira;https://www.youtube.com/watch?v=Xfc3ilREA_M
11/04/2023;11/04/2023;Morumbi;São Paulo F.C.;0;0;Ituano;Copa do Brasil;Arquibancada;https://www.youtube.com/watch?v=h5wQFjUVsLs
18/04/2023;18/04/2023;Morumbi;São Paulo F.C.;2;0;A. Puerto Cabello-VEN;Sul-Americana;Numerada;https://www.youtube.com/watch?v=_My-pq1juBs
22/04/2023;22/04/2023;Morumbi;São Paulo F.C.;3;0;América-MG;Brasileiro;Arquibancada;https://www.youtube.com/watch?v=hvL7_wTtPzo
07/05/2023;07/05/2023;Morumbi;São Paulo F.C.;2;0;Internacional;Brasileiro;Arquibancada;https://www.youtube.com/watch?v=DUpLbmH62fU
20/05/2023;20/05/2023;Morumbi;São Paulo F.C.;4;2;Vasco;Brasileiro;Arquibancada;https://www.youtube.com/watch?v=ZbNk5XSpDaI
27/05/2023;27/05/2023;Morumbi;São Paulo F.C.;2;1;Goiás;Brasileiro;Numerada;https://www.youtube.com/watch?v=PmV0Nimkrtk
01/06/2023;01/06/2023;Morumbi;São Paulo F.C.;1;3;Sport;Copa do Brasil;Arquibancada;https://www.youtube.com/watch?v=vBAorA5LG9c
08/06/2023;08/06/2023;Morumbi;São Paulo F.C.;5;0;Tolima-COL;Sul-Americana;Arquibancada;https://www.youtube.com/watch?v=FqM9OZNu9Bo
11/06/2023;11/06/2023;Morumbi;São Paulo F.C.;0;2;Palmeiras;Brasileiro;Arquibancada;https://www.youtube.com/watch?v=LSz2lkcvEL4
21/06/2023;21/06/2023;Morumbi;São Paulo F.C.;2;1;Athletico-PR;Brasileiro;Numerada;https://www.youtube.com/watch?v=VJce_B6n2Bs
27/06/2023;27/06/2023;Morumbi;São Paulo F.C.;2;0;Tigre-ARG;Sul-Americana;Arquibancada;https://www.youtube.com/watch?v=-OH4RPHLpUg
01/07/2023;01/07/2023;Morumbi;São Paulo F.C.;1;0;Fluminense;Brasileiro;Cativa;https://www.youtube.com/watch?v=OtJbR5NLgJ4
05/07/2023;05/07/2023;Morumbi;São Paulo F.C.;1;0;Palmeiras;Copa do Brasil;Numerada;https://www.youtube.com/watch?v=ocYFk0HrxYE
16/07/2023;16/07/2023;Morumbi;São Paulo F.C.;4;1;Santos;Brasileiro;Arquibancada;https://www.youtube.com/watch?v=WW_18mkXHjo
06/08/2023;06/08/2023;Morumbi;São Paulo F.C.;0;2;Atlético-MG;Brasileiro;Arquibancada;https://www.youtube.com/watch?v=cJcx9iKIWfk
10/08/2023;10/08/2023;Morumbi;São Paulo F.C.;2;0;San Lorenzo-ARG;Sul-Americana;Arquibancada;https://www.youtube.com/watch?v=HCBA6BlmrRs
19/08/2023;19/08/2023;Morumbi;São Paulo F.C.;0;0;Botafogo-RJ;Brasileiro;Arquibancada;https://www.youtube.com/watch?v=9gfyGApWGBY
31/08/2023;31/08/2023;Morumbi;São Paulo F.C.;1;0;LDU-EQU;Sul-Americana;Arquibancada;https://www.youtube.com/watch?v=OMO6UfrHC4U
20/09/2023;20/09/2023;Morumbi;São Paulo F.C.;1;2;Fortaleza;Brasileiro;Cativa;https://www.youtube.com/watch?v=Gvqn75hii-Y
24/09/2023;24/09/2023;Morumbi;São Paulo F.C.;1;1;Flamengo;Copa do Brasil;Arquibancada;https://www.youtube.com/watch?v=NkzZm8lRjuk
30/09/2023;30/09/2023;Morumbi;São Paulo F.C.;2;1;Corinthians;Brasileiro;Arquibancada;https://www.youtube.com/watch?v=D6O7dqTy9P8
22/10/2023;22/10/2023;Morumbi;São Paulo F.C.;3;0;Grêmio;Brasileiro;Arquibancada;https://www.youtube.com/watch?v=Ci3d-yzl0p0
02/11/2023;02/11/2023;Morumbi;São Paulo F.C.;1;0;Cruzeiro;Brasileiro;Arquibancada;https://www.youtube.com/watch?v=OpiExzXO6Qc
26/11/2023;26/11/2023;Morumbi;São Paulo F.C.;0;0;Cuiabá;Brasileiro;Arquibancada;https://www.youtube.com/watch?v=cQBXeFRMTVo
06/12/2023;06/12/2023;Morumbi;São Paulo F.C.;1;0;Flamengo;Brasileiro;Arquibancada;https://www.youtube.com/watch?v=zRM_Pu-vzs4
